tic,company,gicssector,gicssubsector
MASI,Masimo,Health Care,Health Care Equipment
MTZ,MasTec,Industrials,Construction & Engineering
MBC,MasterBrand,Industrials,Building Products
MA,Mastercard,Information Technology,Data Processing & Outsourced Services
MTCH,Match Group,Communication Services,Interactive Media & Services
MAT,Mattel,Consumer Discretionary,Leisure Products
MKC,McCormick,Consumer Staples,Packaged Foods & Meats
MCD,McDonald's,Consumer Discretionary,Restaurants
MCK,McKesson,Health Care,Health Care Distributors
MDU,MDU Resources,Utilities,Multi-Utilities
MPW,Medical Properties Trust,Real Estate,Health Care REITs
MDT,Medtronic,Health Care,Health Care Equipment
MRK,Merck,Health Care,Pharmaceuticals
MRCY,Mercury Systems,Industrials,Electrical Components & Equipment
META,Meta,Communication Services,Interactive Media & Services
MET,Metlife,Financials,Life & Health Insurance
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
MTG,MGIC,Financials,Reinsurance
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming
MCHP,Microchip,Information Technology,Semiconductors
MU,Micron,Information Technology,Semiconductors
MSFT,Microsoft,Information Technology,Systems Software
MAA,Mid-America Apartments,Real Estate,Residential REITs
MIDD,Middleby,Industrials,Industrial Machinery
MRTX,Mirati Therapeutics,Health Care,
MCW,Mister Car Wash,Consumer Discretionary,
MKSI,MKS Instruments,Information Technology,Semiconductor Equipment
MRNA,Moderna,Health Care,Biotechnology
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings
MOH,Molina Healthcare,Health Care,Managed Health Care
TAP,Molson Coors,Consumer Staples,Brewers
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
MDB,MongoDB,Information Technology,
MPWR,Monolithic Power Systems,Information Technology,Semiconductors
MNST,Monster Beverage,Consumer Staples,Soft Drinks
MCO,Moody's,Financials,Financial Exchanges & Data
MS,Morgan Stanley,Financials,Investment Banking & Brokerage
MORN,Morningstar,Financials,
MOS,Mosaic,Materials,Fertilizers & Agricultural Chemicals
MSI,Motorola Solutions,Information Technology,Communications Equipment
MP,MP Materials,Materials,Diversified Metals & Mining
MSA,MSA Safety,Industrials,Office Services & Supplies
MSM,MSC Industrial Direct,Industrials,Trading Companies & Distributors
MSCI,MSCI,Financials,Financial Exchanges & Data
NDAQ,Nasdaq,Financials,Financial Exchanges & Data
NTRA,Natera,Health Care,
NFG,National Fuel,Utilities,Gas Utilities
NATI,National Instruments,Information Technology,Electronic Equipment & Instruments
NNN,National Retail Properties,Real Estate,Retail REITs
NSA,National Storage Affiliates,Real Estate,
NCNO,nCino,Information Technology,
NCR,NCR,Information Technology,IT Consulting & Other Services
NTAP,Netapp,Information Technology,"Technology Hardware, Storage & Peripherals"
NFLX,Netflix,Communication Services,Movies & Entertainment
NBIX,Neurocrine,Health Care,Biotechnology
NFE,New Fortress Energy,Energy,
NEWR,New Relic,Information Technology,
NYCB,New York Community Bank,Financials,Thrifts & Mortgage Finance
NYT,New York Times Company,Communication Services,Publishing
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties
NEU,NewMarket,Materials,Specialty Chemicals
NEM,Newmont,Materials,Gold
NWSA,News Corp (Class A),Communication Services,Publishing
NWS,News Corp (Class B),Communication Services,Publishing
NXST,Nexstar,Communication Services,
NEE,NextEra Energy,Utilities,Multi-Utilities
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NI,NiSource,Utilities,Multi-Utilities
NDSN,Nordson,Industrials,Industrial Machinery
JWN,Nordstrom,Consumer Discretionary,Department Stores
NSC,Norfolk Southern,Industrials,Railroads
NTRS,Northern Trust,Financials,Asset Management & Custody Banks
NOC,Northrop Grumman,Industrials,Aerospace & Defense
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NOV,Nov,Energy,Oil & Gas Equipment & Services
NVAX,Novavax,Health Care,
NVCR,Novocure,Health Care,
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
NUE,Nucor,Materials,Steel
NTNX,Nutanix,Information Technology,
NVT,Nvent Electric,Industrials,
NVDA,Nvidia,Information Technology,Semiconductors
NVR,NVR,Consumer Discretionary,Homebuilding
OSH,Oak Street Health,Health Care,
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
OGE,OG&E,Utilities,Multi-Utilities
OKTA,Okta,Information Technology,Application Software
OLPX,Olaplex,Consumer Staples,
ODFL,Old Dominion,Industrials,Trucking
ORI,Old Republic,Financials,Property & Casualty Insurance
OLN,Olin,Materials,Diversified Chemicals
OLLI,Ollie's,Consumer Discretionary,General Merchandise Stores
OHI,Omega Healthcare Investors,Real Estate,
OMC,Omnicom,Communication Services,Advertising
ON,ON Semiconductor,Information Technology,Semiconductors
OMF,OneMain Financial,Financials,
OKE,Oneok,Energy,Oil & Gas Storage & Transportation
OPEN,Opendoor,Real Estate,
ORCL,Oracle,Information Technology,Application Software
OGN,Organon,Health Care,Pharmaceuticals
OSK,Oshkosh,Industrials,Construction Machinery & Heavy Trucks
OTIS,Otis,Industrials,Industrial Machinery
OVV,Ovintiv,Energy,
OC,Owens Corning,Industrials,Building Products
PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks
PKG,Packaging Corporation of America,Materials,Paper Packaging
PACW,Pacwest Bancorp,Financials,Regional Banks
PLTR,Palantir,Information Technology,
PANW,Palo Alto Networks,Information Technology,Application Software
PARAA,Paramount (Class A),Communication Services,Movies & Entertainment
PARA,Paramount (Class B),Communication Services,Movies & Entertainment
PK,Park Hotels & Resorts,Real Estate,Hotel & Resort REITs
PH,Parker,Industrials,Industrial Machinery
PAYX,Paychex,Information Technology,Data Processing & Outsourced Services
PAYC,Paycom,Information Technology,Application Software
PYCR,Paycor,Information Technology,
PCTY,Paylocity,Information Technology,Application Software
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services
PDCE,PDC Energy,Energy,
PEGA,Pegasystems,Information Technology,
PTON,Peloton,Consumer Discretionary,
PENN,Penn Entertainment,Consumer Discretionary,Casinos & Gaming
PAG,Penske Automotive,Consumer Discretionary,
PNR,Pentair,Industrials,Industrial Machinery
PEN,Penumbra,Health Care,
PEP,PepsiCo,Consumer Staples,Soft Drinks
PFGC,Performance Food Group,Consumer Staples,Food Distributors
PKI,PerkinElmer,Health Care,Health Care Equipment
PRGO,Perrigo,Health Care,Pharmaceuticals
WOOF,Petco,Consumer Discretionary,
PFE,Pfizer,Health Care,Pharmaceuticals
PCG,PG&E,Utilities,
PM,Philip Morris International,Consumer Staples,Tobacco
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PPC,Pilgrim's Pride,Consumer Staples,Packaged Foods & Meats
PNFP,Pinnacle Financial Partners,Financials,Regional Banks
PNW,Pinnacle West,Utilities,Multi-Utilities
PINS,Pinterest,Communication Services,
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production
PLNT,Planet Fitness,Consumer Discretionary,
PLTK,Playtika,Communication Services,
PLUG,Plug Power,Industrials,
PNC,PNC Financial Services,Financials,Regional Banks
PII,Polaris,Consumer Discretionary,Leisure Products
POOL,Pool Corporation,Consumer Discretionary,Distributors
BPOP,Popular,Financials,
POST,Post Holdings,Consumer Staples,Packaged Foods & Meats
PPG,PPG Industries,Materials,Specialty Chemicals
PPL,PPL,Utilities,Electric Utilities
PINC,Premier,Health Care,
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks
PRI,Primerica,Financials,Life & Health Insurance
PFG,Principal,Financials,Life & Health Insurance
PCOR,Procore,Information Technology,
PG,Procter & Gamble,Consumer Staples,Personal Products
PGR,Progressive,Financials,Property & Casualty Insurance
PLD,Prologis,Real Estate,Industrial REITs
PB,Prosperity Bancshares,Financials,Regional Banks
PRU,Prudential,Financials,Life & Health Insurance
PTC,PTC,Information Technology,Application Software
PSA,Public Storage,Real Estate,Specialized REITs
PEG,PSEG,Utilities,Electric Utilities
PHM,PulteGroup,Consumer Discretionary,Homebuilding
PSTG,Pure Storage,Information Technology,
PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
QGEN,Qiagen,Health Care,
QRVO,Qorvo,Information Technology,Semiconductors
QCOM,Qualcomm,Information Technology,Semiconductors
PWR,Quanta,Industrials,Construction & Engineering
QS,QuantumScape,Consumer Discretionary,
DGX,Quest Diagnostics,Health Care,Health Care Services
QDEL,QuidelOrtho,Health Care,Health Care Supplies
RL,Ralph Lauren,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RRC,Range Resources,Energy,Oil & Gas Exploration & Production
RJF,Raymond James,Financials,Investment Banking & Brokerage
RYN,Rayonier,Real Estate,Specialized REITs
RTX,Raytheon Technologies,Industrials,Aerospace & Defense
O,Realty Income,Real Estate,Retail REITs
RRX,Regal Rexnord,Industrials,Electrical Components & Equipment
REG,Regency Centers,Real Estate,Retail REITs
REGN,Regeneron,Health Care,Biotechnology
RF,Regions,Financials,Regional Banks
RGA,Reinsurance Group of America,Financials,Reinsurance
RS,Reliance Steel,Materials,Steel
RNR,RenaissanceRe,Financials,Reinsurance
RGEN,Repligen,Health Care,Biotechnology
RSG,Republic Services,Industrials,Environmental & Facilities Services
RMD,Resmed,Health Care,Health Care Equipment
REXR,Rexford Industrial,Real Estate,
REYN,Reynolds Consumer Products,Consumer Staples,
RH,RH,Consumer Discretionary,Homefurnishing Retail
RNG,RingCentral,Information Technology,
RITM,Rithm Capital,Financials,
RIVN,Rivian,Consumer Discretionary,
RHI,Robert Half,Industrials,Human Resource & Employment Services
HOOD,Robinhood,Financials,
RBLX,Roblox,Communication Services,
RKT,Rocket Companies,Financials,
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment
ROKU,Roku,Communication Services,
ROL,Rollins,Industrials,Environmental & Facilities Services
ROP,Roper,Industrials,Industrial Conglomerates
ROST,Ross,Consumer Discretionary,Apparel Retail
RCL,Royal Caribbean Cruises,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
RGLD,Royal Gold,Materials,Precious Metals & Minerals
RPRX,Royalty Pharma,Health Care,
RPM,RPM International,Materials,Specialty Chemicals
RXO,RXO,Industrials,Trucking
RYAN,Ryan Specialty,Financials,
R,Ryder,Industrials,Trucking
SPGI,S&P Global,Financials,Financial Exchanges & Data
SAIC,SAIC,Industrials,Diversified Support Services
CRM,Salesforce,Information Technology,Application Software
SLM,Sallie Mae,Financials,Consumer Finance
SRPT,Sarepta Therapeutics,Health Care,
SBAC,SBA Communications,Real Estate,Specialized REITs
HSIC,Henry Schein,Health Care,Health Care Distributors
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
SNDR,Schneider National,Industrials,
SMG,Scotts Miracle-Gro Company,Materials,Fertilizers & Agricultural Chemicals
SEB,Seaboard,Consumer Staples,
SGEN,Seagen,Health Care,Biotechnology
SEE,Sealed Air,Materials,Paper Packaging
SEIC,SEI Investments Company,Financials,Asset Management & Custody Banks
SRE,Sempra,Utilities,Multi-Utilities
ST,Sensata Technologies,Industrials,
S,SentinelOne,Information Technology,
SCI,Service Corporation International,Consumer Discretionary,Specialized Consumer Services
NOW,ServiceNow,Information Technology,Systems Software
SHW,Sherwin-Williams,Materials,Specialty Chemicals
FOUR,Shift4,Information Technology,
SBNY,Signature Bank,Financials,Regional Banks
SGFY,Signify Health,Health Care,
SLGN,Silgan Holdings,Materials,Metal & Glass Containers
SIVB,Silicon Valley Bank,Financials,Regional Banks
SPG,Simon,Real Estate,Retail REITs
SIRI,Sirius XM,Communication Services,Broadcasting
SITE,SiteOne Landscape Supply,Industrials,
SIX,Six Flags,Consumer Discretionary,Leisure Facilities
SKX,Skechers,Consumer Discretionary,Footwear
SWKS,Skyworks,Information Technology,Semiconductors
SLG,SL Green Realty,Real Estate,Office REITs
SMAR,Smartsheet,Information Technology,
AOS,A. O. Smith,Industrials,Building Products
SJM,Smucker,Consumer Staples,Packaged Foods & Meats
SNA,Snap-on,Industrials,Industrial Machinery
SNOW,Snowflake,Information Technology,
SOFI,SoFi,Financials,
SON,Sonoco,Materials,Paper Packaging
SHC,Sotera Health,Health Care,
SO,Southern Company,Utilities,Electric Utilities
SCCO,Southern Copper,Materials,
LUV,Southwest Airlines,Industrials,Airlines
SWN,Southwestern Energy,Energy,Oil & Gas Exploration & Production
SPB,Spectrum Brands,Consumer Staples,
SPR,Spirit Aerosystems,Industrials,
SRC,Spirit Realty Capital,Real Estate,
SPLK,Splunk,Information Technology,Application Software
SPOT,Spotify,Communication Services,
SSNC,SS&C Technologies,Information Technology,
SSRM,SSR Mining,Materials,
SWK,Stanley Black & Decker,Industrials,Industrial Machinery
SBUX,Starbucks,Consumer Discretionary,Restaurants
STWD,Starwood Property Trust,Financials,
STT,State Street,Financials,Asset Management & Custody Banks
STLD,Steel Dynamics,Materials,Steel
SRCL,Stericycle,Industrials,Environmental & Facilities Services
STE,Steris,Health Care,Health Care Equipment
SF,Stifel,Financials,Investment Banking & Brokerage
SYK,Stryker,Health Care,Health Care Equipment
SUI,Sun Communities,Real Estate,
RUN,Sunrun,Industrials,Building Products
SYF,Synchrony,Financials,Consumer Finance
SYNH,Syneos Health,Health Care,Life Sciences Tools & Services
SNPS,Synopsys,Information Technology,Application Software
SNV,Synovus,Financials,Regional Banks
SYY,Sysco,Consumer Staples,Food Distributors
TMUS,T-Mobile,Communication Services,Wireless Telecommunication Services
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
TNDM,Tandem Diabetes Care,Health Care,Health Care Equipment
TPR,Tapestry,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation
TGT,Target,Consumer Discretionary,General Merchandise Stores
SNX,TD Synnex,Information Technology,Technology Distributors
TDOC,Teladoc Health,Health Care,
TDY,Teledyne,Industrials,Aerospace & Defense
TFX,Teleflex,Health Care,Health Care Equipment
TPX,Tempur Sealy International,Consumer Discretionary,Home Furnishings
THC,Tenet Health,Health Care,Health Care Facilities
TDC,Teradata,Information Technology,IT Consulting & Other Services
TER,Teradyne,Information Technology,Semiconductor Equipment
TSLA,Tesla,Consumer Discretionary,Automobile Manufacturers
TTEK,Tetra Tech,Industrials,Environmental & Facilities Services
TXN,Texas Instruments,Information Technology,Semiconductors
TPL,Texas Pacific Land,Energy,
TXT,Textron,Industrials,Aerospace & Defense
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services
TFSL,Third Federal S&L,Financials,
THO,Thor Industries,Consumer Discretionary,Leisure Products
TWKS,Thoughtworks,Information Technology,
TKR,Timken,Industrials,Industrial Machinery
TJX,TJX Companies,Consumer Discretionary,Apparel Retail
TOST,Toast,Information Technology,
TOL,Toll Brothers,Consumer Discretionary,Homebuilding
BLD,TopBuild,Consumer Discretionary,
TTC,Toro,Industrials,Agricultural & Farm Machinery
TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores
TTD,Trade Desk (The),Information Technology,
TW,Tradeweb,Financials,
TT,Trane Technologies,Industrials,Building Products
TDG,Transdigm,Industrials,Aerospace & Defense
TRU,TransUnion,Industrials,
TNL,Travel + Leisure,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
TRV,Travelers,Financials,Property & Casualty Insurance
TREX,Trex,Industrials,Building Products
TRMB,Trimble,Information Technology,Electronic Equipment & Instruments
TRIP,Tripadvisor,Communication Services,Interactive Media & Services
TFC,Truist,Financials,Regional Banks
TWLO,Twilio,Information Technology,
TYL,Tyler Technologies,Information Technology,Application Software
TSN,Tyson,Consumer Staples,Packaged Foods & Meats
UHAL,U-Haul,Industrials,
UHAL.B,U-Haul (Series N),Industrials,
X,U.S. Steel,Materials,Steel
UBER,Uber,Industrials,
UI,Ubiquiti,Information Technology,
UDR,UDR,Real Estate,Residential REITs
UGI,UGI Corporation,Utilities,Gas Utilities
PATH,UiPath,Information Technology,
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores
RARE,Ultragenyx,Health Care,
UMPQ,Umpqua Bank,Financials,Regional Banks
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
UNP,Union Pacific,Industrials,Railroads
UAL,United Airlines,Industrials,Airlines
UPS,United Parcel Service,Industrials,Air Freight & Logistics
URI,United Rentals,Industrials,Trading Companies & Distributors
UTHR,United Therapeutics,Health Care,Biotechnology
UWMC,United Wholesale Mortgage,Financials,
UNH,UnitedHealth Group,Health Care,Managed Health Care
U,Unity,Information Technology,
UNVR,Univar Solutions,Industrials,Trading Companies & Distributors
OLED,Universal Display,Information Technology,Semiconductors
UHS,Universal Health Services,Health Care,Health Care Facilities
UNM,Unum,Financials,Life & Health Insurance
UPST,Upstart,Financials,
USB,US Bancorp,Financials,Diversified Banks
USFD,US Foods,Consumer Staples,
MTN,Vail Resorts,Consumer Discretionary,
VLO,Valero,Energy,Oil & Gas Refining & Marketing
VMI,Valmont Industries,Industrials,Industrial Machinery
VVV,Valvoline,Materials,Commodity Chemicals
VEEV,Veeva Systems,Health Care,
VTR,Ventas,Real Estate,Health Care REITs
VRSN,Verisign,Information Technology,Internet Services & Infrastructure
VRSK,Verisk,Industrials,Research & Consulting Services
VZ,Verizon,Communication Services,Integrated Telecommunication Services
VRTX,Vertex,Health Care,Biotechnology
VRT,Vertiv,Industrials,
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
VSAT,Viasat,Information Technology,Communications Equipment
VTRS,Viatris,Health Care,Pharmaceuticals
VICI,Vici Properties,Real Estate,Hotel & Resort REITs
VSCO,Victoria's Secret,Consumer Discretionary,Apparel Retail
VIRT,Virtu Financial,Financials,
V,Visa,Information Technology,Data Processing & Outsourced Services
VST,Vistra,Utilities,
VTS,Vitesse Energy,Energy,
VMW,VMware,Information Technology,
VNT,Vontier,Information Technology,Electronic Equipment & Instruments
VNO,Vornado Realty Trust,Real Estate,Office REITs
VOYA,Voya Financial,Financials,Multi-Sector Holdings
VMC,Vulcan Materials,Materials,Construction Materials
WPC,W. P. Carey,Real Estate,
WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers
WBD,Warner Bros. Discovery,Communication Services,Broadcasting
WM,Waste Management,Industrials,Environmental & Facilities Services
WAT,Waters,Health Care,Health Care Distributors
WSO,Watsco,Industrials,Trading Companies & Distributors
W,Wayfair,Consumer Discretionary,
WBS,Webster Bank,Financials,Regional Banks
WEC,WEC Energy Group,Utilities,Electric Utilities
WFC,Wells Fargo,Financials,Diversified Banks
WELL,Welltower,Real Estate,Health Care REITs
WEN,Wendy's Company (The),Consumer Discretionary,Restaurants
WCC,Wesco,Industrials,
WST,West Pharmaceutical Services,Health Care,Health Care Supplies
WAL,Western Alliance Bancorp,Financials,
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
WU,Western Union,Information Technology,Data Processing & Outsourced Services
WLK,Westlake,Materials,
WRK,Westrock,Materials,Paper Packaging
WE,WeWork,Real Estate,
WEX,Wex,Information Technology,Data Processing & Outsourced Services
WY,Weyerhaeuser,Real Estate,Specialized REITs
WHR,Whirlpool,Consumer Discretionary,Household Appliances
WTM,White Mountains,Financials,
WMB,Williams,Energy,Oil & Gas Storage & Transportation
WSM,Williams-Sonoma,Consumer Discretionary,Homefurnishing Retail
WTW,Willis Towers Watson,Financials,Insurance Brokers
WSC,WillScot Mobile Mini,Industrials,
WTFC,Wintrust Financial,Financials,Regional Banks
WIX,Wix,Information Technology,
WOLF,Wolfspeed,Information Technology,Semiconductors
WWD,Woodward,Industrials,Electrical Components & Equipment
WDAY,Workday,Information Technology,Application Software
WWE,WWE,Communication Services,Movies & Entertainment
WH,Wyndham Hotels & Resorts,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
XEL,Xcel Energy,Utilities,Multi-Utilities
XPO,XPO Logistics,Industrials,Trucking
XYL,Xylem,Industrials,Industrial Machinery
YETI,Yeti,Consumer Discretionary,Leisure Products
YUM,Yum! Brands,Consumer Discretionary,Restaurants
ZBRA,Zebra,Information Technology,Electronic Equipment & Instruments
ZG,Zillow (Class A),Real Estate,
